ProductCode;Name;Category;Brand;Type;FixedAssetType;CostingMethod;Length;Width;Height;Weight;WeightUnits;DimensionUnits;Barcode;MinimumBeforeReorder;ReorderQuantity;DefaultLocation;LastSuppliedBy;SupplierProductCode;SupplierProductName;SupplierFixedPrice;PriceTier1;PriceTier2;PriceTier3;PriceTier4;PriceTier5;PriceTier6;PriceTier7;PriceTier8;PriceTier9;PriceTier10;AssemblyBOM;AutoAssembly;AutoDisassemble;DropShip;AverageCost;DefaultUnitOfMeasure;InventoryAccount;RevenueAccount;ExpenseAccount;COGSAccount;ProductAttributeSet;AdditionalAttribute1;AdditionalAttribute2;AdditionalAttribute3;AdditionalAttribute4;AdditionalAttribute5;AdditionalAttribute6;AdditionalAttribute7;AdditionalAttribute8;AdditionalAttribute9;AdditionalAttribute10;DiscountName;ProductFamilySKU;ProductFamilyName;ProductFamilyOption1Name;ProductFamilyOption1Value;ProductFamilyOption2Name;ProductFamilyOption2Value;ProductFamilyOption3Name;ProductFamilyOption3Value;CommaDelimitedTags;StockLocator;PurchaseTaxRule;SaleTaxRule;Status;Description;ShortDescription;Sellable;PickZones;AlwaysShowQuantity;WarrantySetupName;InternalNote;ProductionBOM;MakeToOrderBom;QuantityToProduce
P70476;Elaluz, Floor Lamp;Lighting;Primavera;Stock;;FIFO;415;415;1225;;kg;cm;;0;0;Primavera Location: Warehouse;;DS-16030(T);Floor Lamp;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Lighting;;COS - Lighting;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70477;Luana, Pendant Lamp;Lighting;Primavera;Stock;;FIFO;400;400;1315;;kg;cm;;0;0;Primavera Location: Warehouse;;DS-16132(T);Pendant Lamp;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Lighting;;COS - Lighting;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70478;Juliette, Pendant Lamp;Lighting;Primavera;Stock;;FIFO;1200;1100;1200;;kg;cm;;0;0;Primavera Location: Warehouse;;DS-16021-2(T);Pendant Lamp;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Lighting;;COS - Lighting;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70479;Oshi, Floor Lamp;Lighting;Primavera;Stock;;FIFO;850;1800;0;;kg;cm;;0;0;Primavera Location: Warehouse;;DS-16058(T);Floor Lamp;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Lighting;;COS - Lighting;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70480;BellaDonna,Bed (without mattress);Bedroom;Primavera;Stock;;FIFO;2960;2090;1200;;kg;cm;;0;0;Primavera Location: Warehouse;;JLY-20073(T);Bed (without mattress);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Bedroom;;COS - Bedroom;Product Set Rooms;Rooms;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70481;Nala, Sofa;Sofas;Primavera;Stock;;FIFO;2410;1010;660;;kg;cm;;0;0;Primavera Location: Warehouse;;CY-13403(T);Sofa;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Sofas;;COS - Sofas;Product Set Lounge;Lounge;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70482;Matilda, Chair;Armchairs;Primavera;Stock;;FIFO;460;500;1000;;kg;cm;;0;0;Primavera Location: Warehouse;;CY-13226-HK(T);Chair;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Armchairs;;COS - Armchairs;Product Set Lounge;Lounge;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70483;Venus, Coffee Table ;Coffee and Lamp Tables;Primavera;Stock;;FIFO;615;615;775;;kg;cm;;0;0;Primavera Location: Warehouse;;CY-13376(T);Coffee Table;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Coffee and Lamp Tables;;COS - Coffee and Lamp Tables;Product Set Furniture;Furniture;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70484;Elipa, Chair;Armchairs;Primavera;Stock;;FIFO;560;650;750;;kg;cm;;0;0;Primavera Location: Warehouse;;CY-13248-HK;Rest Chair;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Armchairs;;COS - Armchairs;Product Set Lounge;Lounge;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70485;Kendra, Coffee Table;Coffee and Lamp Tables;Primavera;Stock;;FIFO;1050;1050;450;;kg;cm;;0;0;Primavera Location: Warehouse;;CY-13110-HK(Z);Coffee Table;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Coffee and Lamp Tables;;COS - Coffee and Lamp Tables;Product Set Furniture;Furniture;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70486;Britney, Console;Consoles and TV Units;Primavera;Stock;;FIFO;1400;400;800;;kg;cm;;0;0;Primavera Location: Warehouse;;CY-13176-HK(Z);Console;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Consoles and TV Units;;COS - Consoles and TV Units;Product Set Furniture;Furniture;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70487;Sienna, Partition;Drinks Trolleys, Shelves and Plinths;Primavera;Stock;;FIFO;2000;40;2130;;kg;cm;;0;0;Primavera Location: Warehouse;;CY-13149-QT;Partition;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Drinks Trolleys, Shelves and Plinths;;COS - Drinks Trolleys, Shelves and Plinths;Product Set Lounge;Lounge;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
